,新設住宅着工：利用関係別戸数，床面積　,,,,,,,,,,,,,,,,,,,,,,新設住宅着工：利用関係別戸数，床面積　,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,（単位：戸，千㎡，％）,,,,【参考：修正前データ】,,,,,,,,,,,,,,,,（単位：戸，千㎡，％）,,,,
,総計,,,,,,,,,,,,,,,,,,,季節調整値,,,総計,,,,,,,,,,,,,,,,,,,季節調整値
,,,,,持家,,,,貸家,,給与住宅,,分譲住宅,,,,,,,年率,,,,,,,持家,,,,貸家,,給与住宅,,分譲住宅,,,,,,,年率
,　,,,,,,住宅金融機構,,,,,,,,マンション,,,一戸建て,,,,,　,,,,,,住宅金融機構,,,,,,,,マンション,,,一戸建て,,
,　,,床面積,,　,,,,　,,　,,　,,,,分譲に占,,,,,,　,,床面積,,　,,,,　,,　,,　,,,,分譲に占,,,
,戸数,前年比,,前年比,戸数,前年比,戸数,前年比,戸数,前年比,戸数,前年比,戸数,前年比,,前年比,める割合,,前年比,（千戸）,,,戸数,前年比,,前年比,戸数,前年比,戸数,前年比,戸数,前年比,戸数,前年比,戸数,前年比,,前年比,める割合,,前年比,（千戸）
8.0,74477.0,7.030250772436602,4712.0,,36181.0,5.266067324197721,,,30535.0,5.464027907298032,4200.0,2.5891548607718704,3561.0,64.32856483617905,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,73586.0,1.082447319981327,4591.0,8.278301886792462,32642.0,7.181086849449997,,,30846.0,-6.086162277363371,5368.0,5.8777120315581755,4730.0,6.820234869015351,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,77443.0,-7.981226235741445,4932.0,1.0034814663116833,37197.0,-3.4721681588166575,,,29777.0,-18.190559920874776,5490.0,-5.377456049638056,4979.0,45.37226277372264,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,82221.0,-1.5800624842891438,5084.0,3.649337410805316,35590.0,-11.085017613111148,,,36751.0,7.581745265068363,5186.0,0.01928640308581464,4694.0,12.619961612284072,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,66790.0,-3.904811233885823,4185.0,3.6404160475482996,28504.0,-8.045680366475267,,,28460.0,-0.8293260854414939,4426.0,-12.874015748031496,5400.0,14.213197969543145,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S４２年 １月,65165.0,20.0976778474014,3986.0,26.902260426615726,25580.0,19.28744637194552,,,30875.0,24.000963894132283,3926.0,-3.939319794470279,4784.0,24.908616187989566,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,64568.0,3.5025567863039555,4172.0,13.2772196578876,29360.0,12.309693213985156,,,25997.0,-11.727954908152526,4726.0,19.524532119372793,4485.0,58.14527503526094,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,75700.0,18.39409437119754,5134.0,27.205153617443017,36845.0,17.198931229722007,,,30603.0,14.622270497022356,3770.0,23.40425531914893,4482.0,63.15981070258462,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,89108.0,28.505090709815136,6071.0,33.89942655491839,42282.0,24.9062066113261,,,35315.0,25.159483980720168,4542.0,13.863123589872146,6969.0,112.08155812538041,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,76704.0,13.209552203559923,5230.0,19.32466347250741,38900.0,14.945925181726835,,,30643.0,18.840411091719986,3394.0,-22.72313296903461,3767.0,0.8567603748326604,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,80325.0,0.7197401913455508,5541.0,8.20152314001173,40576.0,-6.644579422050441,,,30412.0,3.213982691328681,5351.0,56.55354008191924,3986.0,17.097532314923612,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,85929.0,1.5313175711601872,5869.0,7.589367552703948,45077.0,-5.131011259602232,,,32809.0,15.536852484417366,4788.0,7.018328118015191,3255.0,-23.357664233576642,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,94232.0,26.52496743961224,6444.0,36.75721561969439,54407.0,50.37450595616485,,,31317.0,2.5609955788439436,3689.0,-12.166666666666671,4819.0,35.32715529345688,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,87735.0,19.227842252602386,5864.0,27.72816379873666,44990.0,37.828564426199364,,,32167.0,4.2825650003241975,5433.0,1.2108792846497778,5145.0,8.7737843551797,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,88414.0,14.166548300040034,5862.0,18.856447688564472,42239.0,13.554856574454917,,,33393.0,12.14360076569163,6485.0,18.123861566484507,6297.0,26.4711789515967,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,95451.0,16.090779727806776,6297.0,23.85916601101495,46829.0,31.579095251475138,,,33341.0,-9.27865908410655,8295.0,59.94986502121097,6986.0,48.8282914358756,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,87827.0,31.497230124270118,5705.0,36.320191158900826,39220.0,37.59472354757227,,,35249.0,23.854532677442023,7024.0,58.698599186624506,6334.0,17.296296296296305,,,,,,,,,,,,,,,,,,,,,,,,,,,,
