名目季節調整系列,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,(単位:10億円),,,,,,
"Nominal, Seasonally Adjusted Series",,,,,,,,,,,,,,,<cf>,,,,,,,,,,,(Billion Yen),,,,,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,純受取,受取,支払,,,,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,Net,Receipt,Payment,,,,,,,,,,,,,,,
4- 6.,"531,339.9 ","290,970.1 ","285,163.1 ","238,817.5 ","23,396.5 ","86,358.1 ","1,125.5 ","94,414.3 ","27,513.9 ",-2.5 ,"7,564.0 ","71,545.9 ","63,981.9 ",,"11,660.7 ","15,806.2 ","4,145.5 ","543,000.6 ",,"523,775.9 ","401,850.2 ","121,925.7 ",,"137,268.5 ",,"530,216.9 ",,,,,,
7- 9.,"534,571.0 ","293,072.6 ","287,199.6 ","240,622.9 ","23,868.2 ","88,052.4 ",687.6 ,"94,459.1 ","28,069.1 ",24.6 ,"6,337.5 ","74,497.3 ","68,159.8 ",,"12,356.8 ","16,545.2 ","4,188.3 ","546,927.9 ",,"528,233.5 ","405,680.7 ","122,552.8 ",,"139,989.7 ",,"533,858.9 ",,,,,,
10-12.,"534,746.7 ","293,215.2 ","287,300.3 ","240,431.5 ","24,209.3 ","86,856.2 ",117.4 ,"94,744.4 ","27,565.8 ",39.0 ,"7,999.4 ","79,576.2 ","71,576.7 ",,"13,262.8 ","18,002.3 ","4,739.5 ","548,009.6 ",,"526,747.3 ","404,398.1 ","122,349.2 ",,"138,631.3 ",,"534,590.3 ",,,,,,
2006/ 1- 3.,"534,567.7 ","295,060.8 ","289,131.8 ","242,083.9 ","24,039.7 ","86,659.1 ",-180.0 ,"94,268.9 ","28,466.9 ",27.6 ,"6,224.6 ","81,085.4 ","74,860.7 ",,"14,010.9 ","19,170.8 ","5,159.9 ","548,578.6 ",,"528,343.1 ","405,579.7 ","122,763.4 ",,"139,165.7 ",,"534,720.1 ",,,,,,
4- 6.,"533,982.4 ","294,201.4 ","288,232.6 ","240,990.5 ","24,102.4 ","88,077.4 ",-229.6 ,"94,285.7 ","27,407.6 ",-38.6 ,"6,176.2 ","81,996.4 ","75,820.3 ",,"13,879.2 ","19,413.4 ","5,534.2 ","547,861.7 ",,"527,806.2 ","406,151.5 ","121,654.7 ",,"139,587.4 ",,"534,250.6 ",,,,,,
7- 9.,"532,224.5 ","292,485.0 ","286,466.4 ","239,095.9 ","24,268.0 ","88,166.5 ",572.6 ,"94,094.6 ","26,049.3 ",23.4 ,"6,565.0 ","84,987.0 ","78,422.0 ",,"14,500.2 ","20,181.2 ","5,681.0 ","546,724.7 ",,"525,659.5 ","405,492.2 ","120,167.3 ",,"138,483.9 ",,"531,628.5 ",,,,,,
10-12.,"539,930.3 ","296,201.7 ","290,181.0 ","242,628.8 ","24,324.2 ","89,801.8 ",698.8 ,"93,938.1 ","26,415.8 ",-32.2 ,"8,582.0 ","86,831.1 ","78,249.1 ",,"15,328.0 ","21,638.3 ","6,310.3 ","555,258.3 ",,"531,348.2 ","411,026.6 ","120,321.7 ",,"140,541.8 ",,"539,263.6 ",,,,,,
2007/ 1- 3.,"541,982.6 ","295,619.9 ","289,645.1 ","241,856.1 ","24,122.9 ","89,957.2 ","2,423.7 ","94,045.3 ","26,350.3 ",-55.7 ,"9,518.8 ","89,874.1 ","80,355.3 ",,"16,363.6 ","23,077.0 ","6,713.4 ","558,346.2 ",,"532,463.8 ","412,123.8 ","120,340.0 ",,"140,430.5 ",,"539,614.6 ",,,,,,
4- 6.,"542,024.6 ","297,210.0 ","291,285.5 ","243,309.2 ","23,846.1 ","89,122.7 ","1,013.9 ","95,366.2 ","25,803.9 ",137.9 ,"9,523.8 ","93,323.2 ","83,799.4 ",,"17,109.7 ","23,374.7 ","6,265.0 ","559,134.3 ",,"532,500.8 ","411,192.7 ","121,308.0 ",,"138,772.7 ",,"540,872.8 ",,,,,,
7- 9.,"536,471.0 ","294,217.0 ","288,328.9 ","240,142.7 ","21,917.6 ","87,921.7 ","1,386.5 ","94,810.1 ","25,503.8 ",42.8 ,"10,671.6 ","94,290.5 ","83,618.9 ",,"15,352.5 ","23,395.1 ","8,042.6 ","551,823.5 ",,"525,799.3 ","405,442.7 ","120,356.6 ",,"135,343.0 ",,"535,041.7 ",,,,,,
